French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
